section,subset,metric,true_text,zero_text,delta,value,numerator,denominator,unit
evaluation,overall65,AP,0.18701650449387128,0.16826814909206475,0.018748355401806527,,,,score
evaluation,overall65,AP50,0.2916153532782089,0.2652770394262881,0.026338313851920814,,,,score
evaluation,overall65,AP75,0.20147840659490704,0.18016375044966418,0.02131465614524286,,,,score
evaluation,base48,AP,0.18531164523727423,0.16940970298471825,0.01590194225255598,,,,score
evaluation,base48,AP50,0.2897037923386921,0.26737251057535394,0.02233128176333815,,,,score
evaluation,base48,AP75,0.19981590913675826,0.18209419835696025,0.017721710779798006,,,,score
evaluation,new17,AP,0.19183022474779224,0.16504493810104304,0.0267852866467492,,,,score
evaluation,new17,AP50,0.29701270181331535,0.2593604150053963,0.037652286807919044,,,,score
evaluation,new17,AP75,0.20617251706497408,0.17471307400553412,0.03145944305943996,,,,score
mechanism,paired,router_logit_l1,,,,2.4388247,,,distance
mechanism,paired,router_logit_l2,,,,0.3556086,,,distance
mechanism,paired,top1_switch_rate,,,,0.25,10,40,ratio
mechanism,paired,fixed_probe_changed_rate,,,,0.10265384615384615,66725,650000,ratio
mechanism,paired,fixed_probe_output_l2,,,,4196.3741,,,distance
mechanism,paired,fixed_probe_output_linf,,,,313.5068,,,distance
mechanism,paired,mean_task_loss_effect,,,,0.13499,,,loss
mechanism,paired,mean_absolute_task_loss_effect,,,,0.33553,,,loss
reference,released_adapter_off,new17_AP,,,,0.3276134921784967,,,score
