seed,comparison_type,label,a_key,b_key,new17_ap_a,new17_ap_b,delta_ap,bootstrap_mean_ap,ci95_low_ap,ci95_high_ap,p_delta_ap_gt_0,new17_ap50_a,new17_ap50_b,delta_ap50,bootstrap_mean_ap50,ci95_low_ap50,ci95_high_ap50,p_delta_ap50_gt_0,resamples
0,text_counterfactual_same_checkpoint,true_new17_minus_zero_assignment_fixed,seed0__true-text__true-new17,seed0__true-text__zero,0.2783302748300107,0.27821193949782025,0.00011833533219046677,0.00005181556841835765,0.0000022923827141529962,0.00011612853088729946,0.981,0.40606909089559096,0.4059193344546151,0.00014975644097586782,0.00006863754328832547,-0.000002233122383482611,0.00015551379289988065,0.973,1000
0,text_counterfactual_same_checkpoint,true_new17_minus_wrong_new_assignment_fixed,seed0__true-text__true-new17,seed0__true-text__wrong-new,0.2783302748300107,0.2775830746906665,0.0007472001393442063,0.00028841797258899953,0.00012899477919983693,0.0004602761831187796,0.997,0.40606909089559096,0.4051849274588519,0.0008841634367390827,0.00035514601163417656,0.00016183819363196905,0.0005569017374858765,0.999,1000
0,text_counterfactual_same_checkpoint,zero_minus_wrong_new_assignment_fixed,seed0__true-text__zero,seed0__true-text__wrong-new,0.27821193949782025,0.2775830746906665,0.0006288648071537395,0.00023660240417064192,0.00008904578033612498,0.0003922505782870678,0.995,0.4059193344546151,0.4051849274588519,0.0007344069957632149,0.0002865084683458514,0.00011534388123771167,0.0004741375810646542,0.997,1000
1,text_counterfactual_same_checkpoint,true_new17_minus_zero_assignment_fixed,seed1__true-text__true-new17,seed1__true-text__zero,0.28355339629283643,0.2837425155120772,-0.00018911921924075203,-0.00007947329492107922,-0.00022034253274427762,0.00004945420379295906,0.139,0.413344570466799,0.4135519581320085,-0.00020738766520950191,-0.00010740703932360226,-0.00031620741887611326,0.00009582689953041568,0.156,1000
1,text_counterfactual_same_checkpoint,true_new17_minus_wrong_new_assignment_fixed,seed1__true-text__true-new17,seed1__true-text__wrong-new,0.28355339629283643,0.2822000655470509,0.0013533307457855304,0.0006179579182901256,0.0004425602399711903,0.000876222699395468,1.0,0.413344570466799,0.41170281635463546,0.0016417541121635515,0.0007534945166797832,0.0005032595613336521,0.0010469291139844072,1.0,1000
1,text_counterfactual_same_checkpoint,zero_minus_wrong_new_assignment_fixed,seed1__true-text__zero,seed1__true-text__wrong-new,0.2837425155120772,0.2822000655470509,0.0015424499650262824,0.0006974312132112046,0.0004677857003466124,0.0009803634989669352,1.0,0.4135519581320085,0.41170281635463546,0.0018491417773730534,0.0008609015560033859,0.0005471951828473209,0.0012124445302046927,1.0,1000
2,text_counterfactual_same_checkpoint,true_new17_minus_zero_assignment_fixed,seed2__true-text__true-new17,seed2__true-text__zero,0.27629259539238443,0.2764910710036784,-0.00019847561129399116,-0.00008439540576169252,-0.00014536901099682087,-0.000027664907257946014,0.004,0.4051804289989792,0.4053527264697458,-0.0001722974707665803,-0.0001014197200451535,-0.00018225975086266777,-0.000028564926281310354,0.006,1000
2,text_counterfactual_same_checkpoint,true_new17_minus_wrong_new_assignment_fixed,seed2__true-text__true-new17,seed2__true-text__wrong-new,0.27629259539238443,0.2761085583457406,0.0001840370466438257,0.00008011991581633987,0.00003586702266722419,0.0001414481522601374,1.0,0.4051804289989792,0.40498772017294654,0.0001927088260326726,0.00010018356260140498,0.00003018414750344256,0.00019654682384065425,0.998,1000
2,text_counterfactual_same_checkpoint,zero_minus_wrong_new_assignment_fixed,seed2__true-text__zero,seed2__true-text__wrong-new,0.2764910710036784,0.2761085583457406,0.00038251265793781686,0.00016451532157803233,0.00009799181228281606,0.0002389300884239054,1.0,0.4053527264697458,0.40498772017294654,0.0003650062967992529,0.0002016032826465585,0.00010438781200555747,0.00031775592192806457,1.0,1000
0,routing_descriptive_mixed,native_random_minus_true_text_mixed_descriptive,seed0__deterministic-random-routing__native-random,seed0__true-text__true-new17,0.2753658734648927,0.2783302748300107,-0.002964401365117997,-0.001553439697757551,-0.0032774966047861703,0.00016213172303737589,0.041,0.40315030010440683,0.40606909089559096,-0.0029187907911841227,-0.0019383786266346072,-0.004150264025680861,0.0003391293004998963,0.044,1000
0,routing_descriptive_mixed,native_fixed_minus_true_text_mixed_descriptive,seed0__fixed-balanced-routing__native-fixed,seed0__true-text__true-new17,0.2811903743014168,0.2783302748300107,0.0028600994714060857,0.0007490886714719251,-0.0009416918442537586,0.002824587909981857,0.775,0.4097374136300775,0.40606909089559096,0.003668322734486529,0.0005041804730606115,-0.0016303033889778773,0.0030910870194954254,0.65,1000
0,routing_descriptive_mixed,native_fixed_minus_native_random_mixed_descriptive,seed0__fixed-balanced-routing__native-fixed,seed0__deterministic-random-routing__native-random,0.2811903743014168,0.2753658734648927,0.0058245008365240825,0.002302528369229474,0.0004373683714207349,0.004423722268557806,0.989,0.4097374136300775,0.40315030010440683,0.0065871135256706514,0.0024425590996952178,0.00021203031172484232,0.004960033034546563,0.979,1000
1,routing_descriptive_mixed,native_random_minus_true_text_mixed_descriptive,seed1__deterministic-random-routing__native-random,seed1__true-text__true-new17,0.2894444985126299,0.28355339629283643,0.005891102219793443,0.0029057090662540025,0.0006077339434628071,0.005235918705608855,0.992,0.4183701220470542,0.413344570466799,0.005025551580255194,0.0025733014947472693,-0.0003045114692968587,0.005513038224949363,0.956,1000
1,routing_descriptive_mixed,native_fixed_minus_true_text_mixed_descriptive,seed1__fixed-balanced-routing__native-fixed,seed1__true-text__true-new17,0.29639866901109274,0.28355339629283643,0.012845272718256306,0.00588794418285238,0.00386919715591047,0.007964305350686679,1.0,0.42722282971528286,0.413344570466799,0.013878259248483849,0.006399413647347463,0.003899230794468883,0.00898027941624549,1.0,1000
1,routing_descriptive_mixed,native_fixed_minus_native_random_mixed_descriptive,seed1__fixed-balanced-routing__native-fixed,seed1__deterministic-random-routing__native-random,0.29639866901109274,0.2894444985126299,0.006954170498462864,0.0029822351165983726,0.0004932676413491044,0.005431968019888933,0.99,0.42722282971528286,0.4183701220470542,0.008852707668228654,0.003826112152600193,0.0009578464932389896,0.00691094088869354,0.993,1000
2,routing_descriptive_mixed,native_random_minus_true_text_mixed_descriptive,seed2__deterministic-random-routing__native-random,seed2__true-text__true-new17,0.2798029704546414,0.27629259539238443,0.0035103750622569874,0.0020305310096811113,0.0005864210866561304,0.003616599662041836,0.996,0.408489750240746,0.4051804289989792,0.003309321241766805,0.002276008751767354,0.00022940415179451001,0.004324671840308297,0.988,1000
2,routing_descriptive_mixed,native_fixed_minus_true_text_mixed_descriptive,seed2__fixed-balanced-routing__native-fixed,seed2__true-text__true-new17,0.26959516198790445,0.27629259539238443,-0.00669743340447998,-0.003131963491089672,-0.005024204153019712,-0.0014609438019758808,0.0,0.394163592530493,0.4051804289989792,-0.011016836468486224,-0.005268702766217917,-0.007766573314680614,-0.002843127307870591,0.0,1000
