epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,2978.21,1.67891,7273.51,0.01198,0.00094,0.04718,0.0001,7e-05,1.50543,1388.71,0.01306,0.00999852,0.00333284,0.00999852,0.00333284,0.00999852,0.00333284,0.00999852,0.00333284,0.00499926,0.00166642,0.019997,0.00666568
2,4582.81,1.62298,6.00457,0.01188,0.49055,0.18258,0.15806,0.09738,1.59532,2.89929,0.01562,0.019751,0.00658368,0.019751,0.00658368,0.019751,0.00658368,0.019751,0.00658368,0.00987552,0.00329184,0.0395021,0.0131674
3,5903.23,1.72073,2.58255,0.01304,0.44148,0.19067,0.15965,0.09593,1.64622,2.90508,0.01646,0.0292561,0.00975202,0.0292561,0.00975202,0.0292561,0.00975202,0.0292561,0.00975202,0.014628,0.00487601,0.0585121,0.019504
4,7123.06,1.73377,2.54033,0.01317,0.30059,0.2221,0.20427,0.12815,1.55886,2.75639,0.01492,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0144431,0.00481438,0.0577725,0.0192575
5,8340.1,1.69054,2.41743,0.01268,0.33296,0.24408,0.23531,0.15363,1.49959,2.65528,0.01401,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.0142575,0.0047525,0.05703,0.01901
6,9564.56,1.66327,2.34267,0.01228,0.34736,0.26105,0.25575,0.16894,1.46391,2.59653,0.01339,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0140719,0.00469063,0.0562875,0.0187625
7,10795.3,1.64612,2.27466,0.01202,0.36281,0.27009,0.26836,0.17946,1.44918,2.54888,0.01321,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0138863,0.00462875,0.055545,0.018515
8,12062.8,1.63865,2.2542,0.0119,0.35011,0.28347,0.27631,0.18654,1.43118,2.5347,0.01297,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0137006,0.00456687,0.0548025,0.0182675
9,13322.2,1.62565,2.22371,0.01178,0.34988,0.28988,0.28242,0.19152,1.42534,2.51687,0.01287,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.013515,0.004505,0.05406,0.01802
10,14580,1.6177,2.21298,0.01184,0.36659,0.2851,0.28626,0.19517,1.41652,2.5102,0.01271,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0133294,0.00444313,0.0533175,0.0177725
11,15837.6,1.6203,2.19918,0.01166,0.3757,0.28288,0.2889,0.19725,1.41053,2.50133,0.01259,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0131437,0.00438125,0.052575,0.017525
12,17094.1,1.60977,2.17806,0.01157,0.37592,0.28279,0.29123,0.19913,1.40584,2.49328,0.01253,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0129581,0.00431938,0.0518325,0.0172775
13,18327.4,1.60197,2.16185,0.01152,0.37636,0.28605,0.2927,0.20062,1.40098,2.4886,0.01247,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.0127725,0.0042575,0.05109,0.01703
14,19551.7,1.60171,2.1623,0.01163,0.38016,0.28714,0.2939,0.20174,1.39836,2.48164,0.01243,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0125869,0.00419563,0.0503475,0.0167825
15,20785.9,1.59905,2.13776,0.01137,0.38539,0.2864,0.29531,0.20316,1.39591,2.476,0.0124,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0124012,0.00413375,0.049605,0.016535
16,22016,1.60138,2.13137,0.01137,0.38072,0.28859,0.2965,0.2039,1.39465,2.4728,0.01238,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0122156,0.00407187,0.0488625,0.0162875
17,23241.4,1.59075,2.11676,0.01141,0.3822,0.28688,0.29792,0.20431,1.39293,2.4689,0.01235,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.01203,0.00401,0.04812,0.01604
18,24485.2,1.59634,2.12251,0.0114,0.38157,0.29043,0.29875,0.20479,1.39031,2.46661,0.01232,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0118444,0.00394813,0.0473775,0.0157925
19,25709.6,1.58869,2.11278,0.01138,0.39211,0.28948,0.29949,0.20522,1.38864,2.46198,0.01229,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0116587,0.00388625,0.046635,0.015545
20,26935.6,1.58196,2.10168,0.01134,0.39635,0.28706,0.3006,0.20603,1.38728,2.45628,0.01226,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0114731,0.00382438,0.0458925,0.0152975
21,28191.4,1.58063,2.10554,0.01135,0.39241,0.28996,0.30142,0.20708,1.38617,2.45128,0.01224,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.0112875,0.0037625,0.04515,0.01505
22,29549.1,1.58484,2.10124,0.0113,0.39482,0.29246,0.30244,0.20784,1.38531,2.44623,0.01223,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0111019,0.00370063,0.0444075,0.0148025
23,30924.2,1.58266,2.0912,0.01125,0.39814,0.29071,0.30392,0.20894,1.38386,2.44261,0.0122,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0109162,0.00363875,0.043665,0.014555
24,32151.6,1.57977,2.07403,0.01112,0.39727,0.28981,0.30564,0.21035,1.38235,2.4403,0.01218,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0107306,0.00357688,0.0429225,0.0143075
25,33376.8,1.58804,2.08056,0.01117,0.39995,0.29036,0.30674,0.21134,1.38,2.43981,0.01216,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.010545,0.003515,0.04218,0.01406
26,34602.3,1.57626,2.06495,0.01117,0.39814,0.29353,0.3079,0.2126,1.3782,2.43801,0.01215,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0103594,0.00345313,0.0414375,0.0138125
27,35865,1.57188,2.07264,0.01113,0.38687,0.30169,0.30936,0.21348,1.37685,2.43625,0.01212,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0101738,0.00339125,0.040695,0.013565
28,37155.2,1.56995,2.06478,0.01108,0.39066,0.3017,0.31138,0.21506,1.37489,2.43349,0.01208,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.00998812,0.00332937,0.0399525,0.0133175
29,38371,1.56942,2.04944,0.01107,0.3933,0.30122,0.31373,0.21678,1.37469,2.42988,0.01207,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.0098025,0.0032675,0.03921,0.01307
30,39663.6,1.57156,2.05516,0.01117,0.39254,0.30176,0.31551,0.21843,1.37444,2.4272,0.01206,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.00961687,0.00320562,0.0384675,0.0128225
31,41037.2,1.56624,2.04835,0.01103,0.39407,0.30264,0.31648,0.21913,1.37415,2.42432,0.01207,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.00943125,0.00314375,0.037725,0.012575
32,42318.4,1.55982,2.03221,0.01108,0.39194,0.30418,0.31807,0.22067,1.37389,2.41976,0.01207,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.00924563,0.00308187,0.0369825,0.0123275
33,43537.8,1.55948,2.03327,0.01109,0.3922,0.3081,0.31863,0.22115,1.37422,2.41774,0.01208,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.00906,0.00302,0.03624,0.01208
34,44772.2,1.55817,2.03048,0.01096,0.38809,0.31135,0.31963,0.22184,1.37182,2.41801,0.01203,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.00887438,0.00295813,0.0354975,0.0118325
35,45995.8,1.56362,2.01956,0.01094,0.39252,0.31257,0.32079,0.22274,1.37179,2.41744,0.01204,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.00868875,0.00289625,0.034755,0.011585
36,47211.8,1.56301,2.02247,0.011,0.39076,0.31272,0.32098,0.22278,1.37113,2.41664,0.01201,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.00850313,0.00283438,0.0340125,0.0113375
37,48426.8,1.55049,2.01796,0.011,0.39343,0.31212,0.32226,0.22405,1.36952,2.41595,0.012,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.0083175,0.0027725,0.03327,0.01109
